"filename", "language", "Markdown", "Dart", "YAML", "JSON", "Swift", "C++", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\beauty_text_field.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\chart_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 12, 239
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\loading_view.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\money_text_form_field.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 3, 39
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\tracker_chart.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 10, 87
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\transaction_widget.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\Modather\FlutterProjects\money_manager\lib\screens\widgets\widgets.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Modather\FlutterProjects\money_manager\lib\service\authentication.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 9, 58
"c:\Users\Modather\FlutterProjects\money_manager\lib\service\cloud_firestore.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 12, 100
"c:\Users\Modather\FlutterProjects\money_manager\lib\service\service.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Modather\FlutterProjects\money_manager\lib\tools\date_formatter.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\Modather\FlutterProjects\money_manager\lib\tools\logger_utils.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\Modather\FlutterProjects\money_manager\lib\tools\tools.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Modather\FlutterProjects\money_manager\pubspec.yaml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 21, 15, 71
"c:\Users\Modather\FlutterProjects\money_manager\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 6, 30
"Total", "-", 8, 1247, 38, 245, 19, 1, 126, 99, 8, 441, 263, 2495
